column,row,easting_m,northing_m,elevation_m
0,0,31.250,9968.750,1561.327
1,0,93.750,9968.750,1518.788
2,0,156.250,9968.750,1459.153
3,0,218.750,9968.750,1388.492
4,0,281.250,9968.750,1334.970
5,0,343.750,9968.750,1339.748
6,0,406.250,9968.750,1362.653
7,0,468.750,9968.750,1380.989
8,0,531.250,9968.750,1416.752
9,0,593.750,9968.750,1452.622
10,0,656.250,9968.750,1434.706
11,0,718.750,9968.750,1413.532
12,0,781.250,9968.750,1403.762
13,0,843.750,9968.750,1387.963
14,0,906.250,9968.750,1368.921
15,0,968.750,9968.750,1380.688
16,0,1031.250,9968.750,1422.971
17,0,1093.750,9968.750,1453.033
18,0,1156.250,9968.750,1427.793
19,0,1218.750,9968.750,1373.117
20,0,1281.250,9968.750,1344.471
21,0,1343.750,9968.750,1343.626
22,0,1406.250,9968.750,1348.546
23,0,1468.750,9968.750,1370.532
24,0,1531.250,9968.750,1410.406
25,0,1593.750,9968.750,1430.453
26,0,1656.250,9968.750,1431.327
27,0,1718.750,9968.750,1428.239
28,0,1781.250,9968.750,1436.801
29,0,1843.750,9968.750,1451.576
30,0,1906.250,9968.750,1449.339
31,0,1968.750,9968.750,1407.137
32,0,2031.250,9968.750,1380.712
33,0,2093.750,9968.750,1381.962
34,0,2156.250,9968.750,1373.711
35,0,2218.750,9968.750,1353.472
36,0,2281.250,9968.750,1350.681
37,0,2343.750,9968.750,1362.690
38,0,2406.250,9968.750,1410.280
39,0,2468.750,9968.750,1477.653
40,0,2531.250,9968.750,1503.986
41,0,2593.750,9968.750,1489.497
42,0,2656.250,9968.750,1456.432
43,0,2718.750,9968.750,1409.361
44,0,2781.250,9968.750,1370.919
45,0,2843.750,9968.750,1366.465
46,0,2906.250,9968.750,1373.314
47,0,2968.750,9968.750,1371.919
48,0,3031.250,9968.750,1350.278
49,0,3093.750,9968.750,1324.416
50,0,3156.250,9968.750,1324.619
51,0,3218.750,9968.750,1372.437
52,0,3281.250,9968.750,1429.971
53,0,3343.750,9968.750,1468.823
54,0,3406.250,9968.750,1492.688
55,0,3468.750,9968.750,1505.721
56,0,3531.250,9968.750,1513.539
57,0,3593.750,9968.750,1533.052
58,0,3656.250,9968.750,1577.321
59,0,3718.750,9968.750,1626.287
60,0,3781.250,9968.750,1641.027
61,0,3843.750,9968.750,1616.887
62,0,3906.250,9968.750,1611.184
63,0,3968.750,9968.750,1646.430
64,0,4031.250,9968.750,1695.851
65,0,4093.750,9968.750,1755.218
66,0,4156.250,9968.750,1828.658
67,0,4218.750,9968.750,1825.120
68,0,4281.250,9968.750,1834.020
69,0,4343.750,9968.750,1851.721
70,0,4406.250,9968.750,1817.558
71,0,4468.750,9968.750,1745.125
72,0,4531.250,9968.750,1675.998
73,0,4593.750,9968.750,1624.531
74,0,4656.250,9968.750,1582.475
75,0,4718.750,9968.750,1559.030
76,0,4781.250,9968.750,1551.185
77,0,4843.750,9968.750,1552.797
78,0,4906.250,9968.750,1579.601
79,0,4968.750,9968.750,1617.409
80,0,5031.250,9968.750,1618.502
81,0,5093.750,9968.750,1574.038
82,0,5156.250,9968.750,1549.445
83,0,5218.750,9968.750,1564.960
84,0,5281.250,9968.750,1582.100
85,0,5343.750,9968.750,1581.714
86,0,5406.250,9968.750,1554.532
87,0,5468.750,9968.750,1518.715
88,0,5531.250,9968.750,1490.917
89,0,5593.750,9968.750,1467.761
90,0,5656.250,9968.750,1424.766
91,0,5718.750,9968.750,1366.346
92,0,5781.250,9968.750,1325.631
93,0,5843.750,9968.750,1317.455
94,0,5906.250,9968.750,1319.263
95,0,5968.750,9968.750,1314.099
96,0,6031.250,9968.750,1305.309
97,0,6093.750,9968.750,1299.745
98,0,6156.250,9968.750,1313.887
99,0,6218.750,9968.750,1336.056
100,0,6281.250,9968.750,1334.992
101,0,6343.750,9968.750,1323.984
102,0,6406.250,9968.750,1324.772
103,0,6468.750,9968.750,1340.075
104,0,6531.250,9968.750,1352.055
105,0,6593.750,9968.750,1354.831
106,0,6656.250,9968.750,1362.084
107,0,6718.750,9968.750,1360.990
108,0,6781.250,9968.750,1323.984
109,0,6843.750,9968.750,1284.456
110,0,6906.250,9968.750,1303.562
111,0,6968.750,9968.750,1369.480
112,0,7031.250,9968.750,1421.482
113,0,7093.750,9968.750,1426.685
114,0,7156.250,9968.750,1401.710
115,0,7218.750,9968.750,1353.352
116,0,7281.250,9968.750,1294.733
117,0,7343.750,9968.750,1248.433
118,0,7406.250,9968.750,1216.897
119,0,7468.750,9968.750,1194.779
120,0,7531.250,9968.750,1194.491
121,0,7593.750,9968.750,1202.960
122,0,7656.250,9968.750,1207.646
123,0,7718.750,9968.750,1208.840
124,0,7781.250,9968.750,1230.312
125,0,7843.750,9968.750,1293.982
126,0,7906.250,9968.750,1378.511
127,0,7968.750,9968.750,1453.492
128,0,8031.250,9968.750,1498.850
129,0,8093.750,9968.750,1538.338
130,0,8156.250,9968.750,1600.161
131,0,8218.750,9968.750,1679.384
132,0,8281.250,9968.750,1764.726
133,0,8343.750,9968.750,1866.048
134,0,8406.250,9968.750,1960.541
135,0,8468.750,9968.750,2002.891
136,0,8531.250,9968.750,2016.127
137,0,8593.750,9968.750,2036.606
138,0,8656.250,9968.750,2074.260
139,0,8718.750,9968.750,2100.281
140,0,8781.250,9968.750,2110.728
141,0,8843.750,9968.750,2101.558
142,0,8906.250,9968.750,2079.327
143,0,8968.750,9968.750,2062.087
144,0,9031.250,9968.750,2046.376
145,0,9093.750,9968.750,2042.326
146,0,9156.250,9968.750,2053.286
147,0,9218.750,9968.750,2070.269
148,0,9281.250,9968.750,2095.293
149,0,9343.750,9968.750,2126.553
150,0,9406.250,9968.750,2148.337
151,0,9468.750,9968.750,2173.203
152,0,9531.250,9968.750,2172.905
153,0,9593.750,9968.750,2148.210
154,0,9656.250,9968.750,2135.207
155,0,9718.750,9968.750,2130.657
156,0,9781.250,9968.750,2155.639
157,0,9843.750,9968.750,2195.950
158,0,9906.250,9968.750,2222.607
159,0,9968.750,9968.750,2227.315
0,1,31.250,9906.250,1518.778
1,1,93.750,9906.250,1481.869
2,1,156.250,9906.250,1432.434
3,1,218.750,9906.250,1385.140
4,1,281.250,9906.250,1357.178
5,1,343.750,9906.250,1366.588
6,1,406.250,9906.250,1389.655
7,1,468.750,9906.250,1406.257
8,1,531.250,9906.250,1422.628
9,1,593.750,9906.250,1431.573
10,1,656.250,9906.250,1412.847
11,1,718.750,9906.250,1404.861
12,1,781.250,9906.250,1401.854
13,1,843.750,9906.250,1396.729
14,1,906.250,9906.250,1396.720
15,1,968.750,9906.250,1409.959
16,1,1031.250,9906.250,1430.051
17,1,1093.750,9906.250,1445.738
18,1,1156.250,9906.250,1437.552
19,1,1218.750,9906.250,1407.294
20,1,1281.250,9906.250,1378.410
21,1,1343.750,9906.250,1365.959
22,1,1406.250,9906.250,1364.104
23,1,1468.750,9906.250,1378.398
24,1,1531.250,9906.250,1407.038
25,1,1593.750,9906.250,1425.688
26,1,1656.250,9906.250,1432.254
